train_indices,test_indices
411,51.0
395,243.0
103,433.0
80,193.0
152,228.0
183,472.0
210,117.0
278,191.0
272,213.0
94,93.0
394,92.0
326,287.0
390,447.0
335,224.0
344,248.0
455,421.0
322,381.0
70,164.0
437,189.0
36,436.0
168,342.0
299,76.0
442,128.0
151,309.0
9,96.0
407,215.0
211,33.0
316,466.0
386,403.0
268,308.0
438,159.0
84,473.0
302,4.0
154,21.0
292,312.0
368,35.0
430,205.0
484,247.0
0,416.0
356,458.0
46,404.0
6,260.0
225,491.0
462,384.0
418,346.0
383,139.0
294,332.0
57,169.0
289,276.0
300,307.0
471,
219,
187,
336,
426,
200,
400,
114,
120,
354,
310,
329,
257,
177,
451,
415,
43,
17,
250,
165,
441,
340,
282,
66,
375,
143,
18,
479,
157,
59,
347,
173,
349,
172,
142,
135,
285,
49,
264,
171,
74,
265,
104,
434,
469,
155,
158,
259,
10,
28,
230,
140,
141,
408,
398,
435,
20,
320,
482,
237,
387,
463,
449,
488,
420,
280,
1,
325,
223,
397,
431,
305,
443,
366,
270,
78,
425,
13,
56,
476,
202,
477,
468,
396,
55,
179,
161,
196,
255,
236,
402,
167,
494,
385,
22,
2,
369,
486,
478,
30,
109,
107,
209,
45,
417,
71,
63,
333,
160,
180,
194,
246,
405,
61,
31,
192,
229,
239,
105,
39,
444,
258,
23,
15,
150,
311,
267,
457,
125,
401,
26,
131,
29,
186,
121,
370,
214,
391,
448,
323,
392,
363,
110,
234,
90,
351,
176,
184,
38,
252,
419,
339,
136,
244,
5,
439,
319,
480,
485,
324,
7,
62,
295,
122,
331,
317,
388,
182,
25,
474,
314,
337,
345,
14,
240,
490,
216,
296,
475,
127,
245,
261,
263,
113,
304,
87,
203,
318,
126,
286,
359,
41,
147,
163,
198,
24,
429,
99,
86,
301,
423,
461,
424,
288,
445,
32,
254,
60,
67,
133,
440,
470,
393,
118,
166,
85,
149,
281,
454,
144,
129,
175,
124,
102,
362,
3,
467,
303,
116,
327,
358,
220,
497,
493,
412,
58,
156,
111,
290,
334,
81,
275,
232,
306,
481,
75,
134,
373,
399,
217,
181,
42,
65,
88,
100,
197,
190,
367,
137,
277,
365,
492,
50,
221,
222,
465,
330,
460,
130,
283,
357,
77,
341,
378,
148,
389,
376,
53,
284,
338,
406,
106,
269,
199,
353,
64,
101,
19,
16,
350,
253,
372,
241,
409,
8,
44,
82,
262,
238,
212,
456,
207,
235,
495,
273,
374,
410,
97,
52,
487,
361,
274,
123,
266,
69,
427,
446,
185,
208,
138,
313,
498,
40,
73,
459,
27,
256,
321,
201,
153,
89,
11,
68,
291,
119,
432,
12,
204,
496,
188,
364,
377,
450,
422,
162,
380,
453,
206,
98,
414,
355,
371,
343,
360,
115,
352,
83,
37,
279,
195,
231,
428,
48,
47,
315,
226,
174,
251,
452,
178,
293,
328,
170,
34,
79,
489,
348,
464,
227,
242,
72,
132,
108,
298,
249,
95,
483,
499,
413,
54,
271,
379,
382,
233,
218,
145,
91,
112,
297,
146,
