train_indices,test_indices
82,237.0
263,384.0
270,435.0
29,290.0
10,224.0
244,167.0
434,427.0
220,377.0
78,176.0
344,103.0
89,447.0
130,380.0
403,192.0
262,313.0
194,268.0
36,159.0
69,71.0
221,368.0
405,379.0
393,204.0
55,165.0
386,279.0
160,429.0
328,433.0
260,114.0
117,314.0
188,162.0
72,378.0
65,102.0
39,61.0
218,30.0
436,278.0
99,62.0
276,25.0
14,108.0
135,35.0
146,359.0
112,444.0
320,370.0
81,296.0
189,241.0
404,58.0
327,417.0
272,11.0
412,398.0
419,26.0
294,208.0
212,363.0
251,357.0
148,158.0
191,265.0
235,193.0
446,356.0
299,12.0
259,382.0
424,196.0
231,187.0
383,21.0
292,77.0
138,161.0
155,254.0
385,300.0
360,147.0
230,37.0
248,93.0
101,104.0
177,273.0
239,24.0
271,423.0
372,90.0
307,113.0
32,338.0
339,416.0
250,240.0
297,91.0
306,2.0
119,391.0
316,312.0
243,390.0
264,340.0
125,407.0
128,374.0
134,426.0
281,238.0
171,420.0
172,185.0
95,129.0
198,31.0
210,201.0
252,127.0
232,275.0
59,323.0
402,414.0
253,97.0
34,400.0
100,441.0
174,152.0
56,395.0
223,107.0
305,325.0
106,206.0
22,205.0
19,105.0
67,140.0
157,229.0
53,98.0
131,397.0
3,247.0
44,213.0
120,63.0
109,209.0
20,406.0
284,183.0
116,215.0
415,57.0
46,85.0
68,0.0
145,83.0
45,17.0
286,51.0
256,173.0
151,367.0
319,132.0
295,149.0
309,86.0
202,87.0
121,142.0
15,190.0
156,186.0
304,381.0
118,335.0
388,4.0
225,179.0
207,322.0
288,365.0
222,
6,
258,
336,
49,
144,
136,
321,
180,
399,
1,
123,
274,
124,
343,
84,
442,
7,
285,
184,
5,
431,
348,
364,
350,
115,
150,
52,
227,
13,
122,
373,
228,
303,
283,
334,
79,
27,
443,
347,
40,
111,
394,
329,
289,
326,
330,
48,
401,
96,
74,
245,
371,
76,
16,
362,
342,
361,
366,
354,
331,
287,
33,
428,
226,
42,
110,
421,
211,
75,
440,
255,
216,
169,
47,
70,
64,
389,
267,
28,
439,
422,
298,
293,
375,
143,
410,
38,
282,
437,
66,
236,
369,
358,
396,
9,
195,
332,
277,
163,
203,
353,
438,
430,
341,
425,
94,
133,
317,
261,
92,
181,
18,
376,
318,
387,
302,
137,
178,
43,
411,
170,
337,
315,
355,
73,
392,
308,
214,
8,
291,
80,
409,
233,
418,
200,
139,
324,
413,
50,
168,
217,
242,
182,
351,
249,
301,
432,
154,
88,
246,
54,
197,
153,
234,
349,
352,
126,
164,
269,
23,
310,
175,
346,
266,
199,
257,
345,
141,
408,
41,
311,
60,
219,
333,
166,
445,
280,
